Thursday_Jul-11-2024_11-06-40 - File: /home/jack/Desktop/Video_Maker/app.py, Line: 60: Server started
Thursday_Jul-11-2024_11-06-44 - File: /home/jack/Desktop/Video_Maker/app.py, Line: 60: Server started
Thursday_Jul-11-2024_11-14-03 - File: /home/jack/Desktop/Video_Maker/app.py, Line: 61: Server started
Thursday_Jul-11-2024_11-14-04 - File: /home/jack/Desktop/Video_Maker/app.py, Line: 61: Server started
Thursday_Jul-11-2024_11-16-01 - File: /home/jack/Desktop/Video_Maker/app.py, Line: 61: Server started
Thursday_Jul-11-2024_11-29-39 - File: /home/jack/Desktop/Video_Maker/app.py, Line: 61: Server started
Thursday_Jul-11-2024_11-50-49 - File: /usr/local/bin/app, Line: 61: Server started
Thursday_Jul-11-2024_11-50-50 - File: /usr/local/bin/app, Line: 61: Server started
Thursday_Jul-11-2024_11-55-50 - File: /usr/local/bin/app, Line: 61: Server started
Thursday_Jul-11-2024_11-55-50 - File: /usr/local/bin/app, Line: 61: Server started
Thursday_Jul-11-2024_11-57-28 - File: /usr/local/bin/app, Line: 61: Server started
Thursday_Jul-11-2024_11-58-12 - File: /usr/local/bin/app, Line: 61: Server started
Thursday_Jul-11-2024_12-02-34 - File: /home/jack/Desktop/Video_Maker/app2.py, Line: 61: Server started
Thursday_Jul-11-2024_12-03-02 - File: /home/jack/Desktop/Video_Maker/app2.py, Line: 61: Server started
Thursday_Jul-11-2024_12-03-02 - File: /home/jack/Desktop/Video_Maker/app2.py, Line: 61: Server started
